pair,k1,k2,name1,name2,league,start_time,fair1,fair2,quote1,quote2,limit_usd,seen_at,obs_at,cutoff_at,version,mins_to_start,n_seen
abe|h|lu|j,abe|h,lu|j,Hiromi Abe,Jia-Jing Lu,ITF Women Kyoto - Final,2026-09-20 01:30:00,0.414407843712335,0.585592156287665,0.43859649122807015,0.609375,750,2026-09-20 01:31:56,2026-09-20 01:31:14,2026-09-20 02:30:00,3735711541,-2.0,138
abe|h|matsuda|r,abe|h,matsuda|r,Hiromi Abe,Rinko Matsuda,ITF Women Kyoto - SF,2026-09-19 01:13:27,0.5544122104497016,0.44558778955029815,0.5780590717299579,0.4694835680751174,750,2026-09-19 01:19:41,2026-09-19 01:07:09,2026-09-19 01:13:27,3733632883,-6.2,118
aboian|v|cundom|j,aboian|v,cundom|j,Valerio Aboian,Julian Cundom,ATP Challenger Buenos Aires - Qualifiers,2026-09-20 14:20:00,0.8773570032388318,0.1226429967611682,0.9050332383665717,0.15698587127158556,50,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 14:20:00,3736019286,225.7,7
agostini|s|mano|a,agostini|s,mano|a,Simone Agostini,Alejandro Juan Mano,ATP Challenger Genoa - Qualifiers,2026-09-20 08:45:34,0.038399204187944125,0.9616007958120559,0.06752194463200539,0.9784529196293902,50,2026-09-20 08:49:59,2026-09-20 08:37:23,2026-09-20 08:45:34,3735944077,-4.4,39
aguilar|d|garin|c,aguilar|d,garin|c,Daniel Merida Aguilar,Cristian Garin,Davis Cup - Qualifiers,2026-09-20 17:45:00,0.658252388034752,0.3417476119652481,0.6794871794871794,0.36363636363636365,450,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 17:45:00,3736074221,430.7,16
aguilar|d|tabilo|a,aguilar|d,tabilo|a,Daniel Merida Aguilar,Alejandro Tabilo,Davis Cup - Qualifiers,2026-09-19 16:24:04,0.4522267002956714,0.5477732997043286,0.4716981132075471,0.5670995670995671,1750,2026-09-19 16:30:27,2026-09-19 16:17:05,2026-09-19 16:24:04,3734934470,-6.4,61
aksu|s|yashina|e,aksu|s,yashina|e,Semra Aksu,Ekaterina Yashina,WTA 125K Ankara - Qualifiers,2026-09-20 09:10:00,0.154489026139778,0.8455109738602221,0.17921146953405018,0.8673740053050397,875,2026-09-20 09:03:02,2026-09-20 08:52:29,2026-09-20 09:10:00,3735961346,6.9,42
aliassime|f|halys|q,aliassime|f,halys|q,Felix Auger-Aliassime,Quentin Halys,Davis Cup - Qualifiers,2026-09-18 23:02:00,0.7776951876937207,0.22230481230627935,0.7963340122199593,0.24213075060532688,1750,2026-09-18 23:10:53,2026-09-18 23:10:53,2026-09-18 23:02:00,3733549207,-9.0,101
alkaya|m|cerundolo|f,alkaya|m,cerundolo|f,Mert Alkaya,Francisco Cerundolo,Davis Cup World - Group 1,2026-09-20 15:20:00,0.1304690500909344,0.8695309499090659,0.14970059880239522,0.8866213151927438,300,2026-09-20 10:34:18,2026-09-20 10:19:35,2026-09-20 15:20:00,3736033371,285.7,17
alkaya|m|tirante|t,alkaya|m,tirante|t,Mert Alkaya,Thiago Agustin Tirante,Davis Cup World - Group 1,2026-09-19 16:49:00,0.16739421790989223,0.8326057820901076,0.18214936247723132,0.8463901689708141,2250,2026-09-19 17:05:01,2026-09-19 16:58:05,2026-09-19 17:05:21,3735041725,-16.0,57
