pair,seen_at,obs_at,start_time,mins_to_start,fair1,fair2,quote1,quote2,limit_usd,version
faucon|r|singh|k,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 09:00:00,525.4,0.3982225740020932,0.6017774259979063,0.43103448275862066,0.6336996336996338,375,3740869159
fellin|p|jubb|p,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 09:00:00,525.4,0.19266006639904343,0.8073399336009567,0.2277904328018223,0.8381877022653721,375,3740868805
jonge|d|seifert|s,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 09:00:00,525.4,0.588778946354633,0.411221053645367,0.6212121212121212,0.4444444444444444,375,3740870657
herrmann|t|thomas|f,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 14:00:00,825.4,0.3155285219624529,0.6844714780375468,0.34965034965034963,0.71671388101983,250,3740870476
banerjee|s|vasa|e,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 15:00:00,885.4,0.8092885798298544,0.19071142017014558,0.84,0.22573363431151244,250,3740870571
stevens|e|te|j,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 07:30:00,435.4,0.7364105679504622,0.2635894320495378,0.7596153846153847,0.2881844380403458,375,3740871994
ishii|s|itaya|r,2026-09-25 00:14:32,2026-09-25 00:02:46,2026-09-25 02:00:00,105.4,0.8636813923450759,0.13631860765492415,0.8849252013808976,0.1607717041800643,750,3740872635
etcheverry|t|jacquet|k,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 05:30:00,315.4,0.6112175115835916,0.38878248841640833,0.6254681647940076,0.40322580645161293,4000,3740871400
prozorova|t|wang|x,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 06:30:00,375.4,0.33158560185404967,0.6684143981459504,0.34602076124567477,0.6825396825396826,850,3740870571
kicker|n|mena|f,2026-09-25 00:14:32,2026-09-25 00:14:32,2026-09-25 17:00:00,1005.4,0.4156789664594738,0.5843210335405263,0.4347826086956522,0.6031746031746031,1500,3740872808
forti|f|petkovic|m,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 13:00:00,765.4,0.5754696463610797,0.4245303536389204,0.5951417004048584,0.4444444444444444,1500,3740871955
khomutsianskaya|d|zhang|r,2026-09-25 00:14:32,2026-09-25 00:14:32,2026-09-25 02:00:00,105.4,0.7304568805560071,0.26954311944399295,0.7536945812807883,0.29411764705882354,750,3740872808
binda|a|flores|j,2026-09-25 00:14:32,2026-09-25 00:14:32,2026-09-25 02:00:00,105.4,0.7407587907618135,0.25924120923818644,0.7641509433962264,0.2840909090909091,750,3740873178
cardozo|j|varillas|j,2026-09-25 00:14:32,2026-09-25 00:14:32,2026-09-25 19:00:00,1125.4,0.5968620454146478,0.4031379545853521,0.6153846153846154,0.42194092827004215,1500,3740873862
jong|j|mayot|h,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 11:00:00,645.4,0.5243648421267324,0.4756351578732676,0.5412844036697247,0.4926108374384236,250,3740868556
europe||world|,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 12:00:00,705.4,0.6521666537966251,0.34783334620337497,0.6845425867507886,0.38167938931297707,375,3740871994
branger|l|donnet|e,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 09:30:00,555.4,0.3699355579143,0.6300644420857,0.40322580645161293,0.6621621621621622,375,3740870691
maxted|l|torre|i,2026-09-25 00:14:32,2026-09-25 00:02:07,2026-09-25 11:00:00,645.4,0.27261732690359525,0.7273826730964047,0.3067484662576687,0.7590361445783133,375,3740868939
